CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
20210301000000,8998825,UNKNOWN,unknown,47783412.0
20210601000000,8946061,UNKNOWN,unknown,48134616.0
20210901000000,8889453,UNKNOWN,unknown,48524855.0
20211201000000,8890504,UNKNOWN,unknown,48903808.0
20220301000000,8889873,UNKNOWN,unknown,49091445.0
20220601000000,8980850,UNKNOWN,unknown,49641853.0
20220901000000,8985012,UNKNOWN,unknown,50102365.0
20221201000000,8961413,UNKNOWN,unknown,50394426.0
20230301000000,8920189,UNKNOWN,unknown,50494414.0
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000820172023,,UNKNOWN,unknown,
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000020152023,,UNKNOWN,unknown,
20150301000000,3584979,UNKNOWN,unknown,20079045.0
20150601000000,3646106,UNKNOWN,unknown,20451781.0
20150901000000,3719079,UNKNOWN,unknown,20734134.0
20151201000000,3735680,UNKNOWN,unknown,20780720.0
20160301000000,3567887,UNKNOWN,unknown,20443744.0
20160601000000,3595602,UNKNOWN,unknown,20663856.0
20160901000000,3719083,UNKNOWN,unknown,20858519.0
20161201000000,3855960,UNKNOWN,unknown,21181491.0
20170301000000,3916869,UNKNOWN,unknown,21499200.0
20170601000000,3909179,UNKNOWN,unknown,21617290.0
20170901000000,3960838,UNKNOWN,unknown,21979881.0
20171201000000,3956910,UNKNOWN,unknown,22271134.0
20180301000000,3967964,UNKNOWN,unknown,22419447.0
20180601000000,4063055,UNKNOWN,unknown,23263131.0
20180901000000,4178635,UNKNOWN,unknown,23848439.0
20181201000000,4298182,UNKNOWN,unknown,24046363.0
20190301000000,4315476,UNKNOWN,unknown,24212147.0
20190601000000,4276528,UNKNOWN,unknown,24434006.0
20190901000000,4281169,UNKNOWN,unknown,24861374.0
20191201000000,4324290,UNKNOWN,unknown,25426316.0
20200301000000,4261307,UNKNOWN,unknown,25522154.0
20200601000000,3997318,UNKNOWN,unknown,24746954.0
20200901000000,4323870,UNKNOWN,unknown,25462492.0
20201201000000,4535062,UNKNOWN,unknown,26038882.0
20210301000000,4659756,UNKNOWN,unknown,26444376.0
20210601000000,4764029,UNKNOWN,unknown,26868182.0
20210901000000,4997027,UNKNOWN,unknown,27754704.0
20211201000000,5070187,UNKNOWN,unknown,28273256.0
20220301000000,5101516,UNKNOWN,unknown,28463701.0
20220601000000,5172588,UNKNOWN,unknown,29042536.0
20220901000000,5305911,UNKNOWN,unknown,29749270.0
20221201000000,5321612,UNKNOWN,unknown,30305268.0
20230301000000,5343038,UNKNOWN,unknown,30666838.0
